_id,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades
1509494400000,0.047001,0.04769,0.04681,0.047371,1176.897,1509496199999,55.65841948,952
1509496200000,0.047381,0.04753,0.047022,0.047372,697.941,1509497999999,33.03705797,805
1509498000000,0.04738,0.04738,0.047054,0.047134,514.915,1509499799999,24.30826652,656
1509499800000,0.047285,0.04738,0.04697,0.047281,543.629,1509501599999,25.62390687,703
1509501600000,0.047124,0.047344,0.047059,0.047202,569.648,1509503399999,26.88771683,706
1509503400000,0.04719,0.047379,0.047111,0.047203,924.886,1509505199999,43.67197092,808
1509505200000,0.047202,0.047369,0.04687,0.047021,864.433,1509506999999,40.7151578,625
1509507000000,0.047011,0.047124,0.046865,0.046925,716.384,1509508799999,33.6446372,656
1509508800000,0.047042,0.047499,0.046945,0.047357,778.368,1509510599999,36.77755861,703
1509510600000,0.04725,0.047539,0.047125,0.047433,847.248,1509512399999,40.11577823,749
1509512400000,0.047433,0.04768,0.047223,0.047367,1015.32,1509514199999,48.18393085,909
1509514200000,0.04727,0.0475,0.047074,0.047168,1355.856,1509515999999,64.00444751,984
1509516000000,0.047166,0.047689,0.047152,0.047571,1141.474,1509517799999,54.08394083,824
1509517800000,0.047519,0.047679,0.047357,0.047425,862.363,1509519599999,40.93017021,711
1509519600000,0.047425,0.04754,0.046968,0.047311,1102.357,1509521399999,52.16196608,975
1509521400000,0.047317,0.0474,0.04703,0.04722,718.405,1509523199999,33.94190108,657
1509523200000,0.047254,0.047339,0.046782,0.0468,915.142,1509524999999,43.05124369,802
1509525000000,0.046937,0.046937,0.0467,0.0468,1315.009,1509526799999,61.58055831,1331
1509526800000,0.0468,0.046987,0.046536,0.046554,1337.54,1509528599999,62.52723787,783
1509528600000,0.046554,0.046611,0.045873,0.045986,1446.349,1509530399999,66.78567547,1049
1509530400000,0.045913,0.04615,0.045377,0.045523,1009.766,1509532199999,46.36646275,1022
1509532200000,0.045523,0.045888,0.044741,0.04519,1268.642,1509533999999,57.40170655,1067
1509534000000,0.045012,0.045371,0.044984,0.045326,1009.427,1509535799999,45.62452063,988
1509535800000,0.04525,0.045347,0.044664,0.044984,1051.134,1509537599999,47.23798627,1011
1509537600000,0.044966,0.045899,0.044664,0.045751,1241.909,1509539399999,56.22612672,1182
1509539400000,0.045751,0.046099,0.045498,0.045779,1064.915,1509541199999,48.77938049,1030
1509541200000,0.045779,0.045893,0.045476,0.045878,746.063,1509542999999,34.07029603,672
1509543000000,0.04582,0.045995,0.045431,0.045753,1265.565,1509544799999,57.98007759,916
1509544800000,0.045775,0.046115,0.045558,0.046027,1000.156,1509546599999,45.83356336,1009
1509546600000,0.045971,0.046072,0.0457,0.045716,906.989,1509548399999,41.67259008,952
1509548400000,0.045706,0.045865,0.045514,0.04558,802.178,1509550199999,36.6732891,848
1509550200000,0.04558,0.045751,0.045405,0.045499,790.542,1509551999999,36.00739763,806
1509552000000,0.045499,0.045499,0.04501,0.045089,1090.527,1509553799999,49.21814161,679
1509553800000,0.045046,0.045091,0.044664,0.044964,818.294,1509555599999,36.73682692,676
1509555600000,0.044978,0.045009,0.044283,0.044697,878.962,1509557399999,39.28468685,653
1509557400000,0.044793,0.04485,0.044582,0.044699,480.837,1509559199999,21.49367672,492
1509559200000,0.044689,0.044996,0.044555,0.044781,447.129,1509560999999,19.99165581,417
1509561000000,0.044783,0.044999,0.04465,0.044802,674.933,1509562799999,30.27390992,474
1509562800000,0.044908,0.045091,0.044828,0.044909,861.277,1509564599999,38.73161393,854
1509564600000,0.045033,0.045178,0.044829,0.044839,710.631,1509566399999,31.99524911,680
1509566400000,0.044839,0.045258,0.044774,0.045095,877.699,1509568199999,39.56036413,668
1509568200000,0.045101,0.045394,0.044941,0.045156,728.56,1509569999999,32.89583038,835
1509570000000,0.045148,0.045336,0.044596,0.04476,675.057,1509571799999,30.29096666,822
1509571800000,0.044741,0.045048,0.044516,0.044668,931.424,1509573599999,41.6740506,998
1509573600000,0.044583,0.04473,0.044301,0.044429,448.232,1509575399999,19.96841859,602
1509575400000,0.044429,0.044429,0.042794,0.043384,1439.964,1509577199999,62.81158066,1130
1509577200000,0.043388,0.043984,0.042732,0.042955,658.456,1509578999999,28.55776988,888
1509579000000,0.042962,0.043267,0.042296,0.042766,1480.531,1509580799999,63.22981079,1512
1509580800000,0.042797,0.042968,0.04255,0.042715,1436.221,1509582599999,61.40848521,1498
1509582600000,0.042739,0.042885,0.041733,0.04198,1916.19,1509584399999,81.14534399,1487
1509584400000,0.041809,0.042163,0.04,0.04004,1837.275,1509586199999,75.89336992,1822
1509586200000,0.04004,0.042126,0.04,0.042126,2453.101,1509587999999,100.78647462,2295
1509588000000,0.042127,0.0431,0.041965,0.042448,1642.537,1509589799999,69.84618832,1729
1509589800000,0.042387,0.042728,0.041786,0.04201,1526.722,1509591599999,64.53637504,1374
1509591600000,0.04202,0.042123,0.041594,0.041701,907.249,1509593399999,37.94543421,920
1509593400000,0.041814,0.041905,0.041309,0.041561,1302.776,1509595199999,54.19062397,1086
1509595200000,0.041569,0.04199,0.041503,0.0418,1235.386,1509596999999,51.57100827,828
1509597000000,0.041801,0.042,0.041576,0.04161,1246.311,1509598799999,52.06622032,773
1509598800000,0.0416,0.041672,0.041128,0.041128,843.063,1509600599999,34.91603274,712
1509600600000,0.041323,0.041521,0.041002,0.041448,618.301,1509602399999,25.52864962,604
1509602400000,0.0413,0.041498,0.040887,0.040979,926.832,1509604199999,38.16993883,600
1509604200000,0.040979,0.041114,0.0405,0.0405,1581.097,1509605999999,64.31942311,929
1509606000000,0.0405,0.040858,0.040061,0.040597,1198.811,1509607799999,48.54547338,825
1509607800000,0.040595,0.040825,0.040391,0.040679,1121.78,1509609599999,45.49582029,784
1509609600000,0.040677,0.04079,0.04042,0.04052,878.021,1509611399999,35.66286839,957
1509611400000,0.040595,0.040622,0.04006,0.040177,1349.342,1509613199999,54.33663006,987
1509613200000,0.040152,0.040182,0.039722,0.039999,1181.662,1509614999999,47.31229731,1027
1509615000000,0.039999,0.040332,0.039985,0.040199,936.509,1509616799999,37.58994636,700
1509616800000,0.040199,0.040277,0.039436,0.039527,1578.747,1509618599999,62.85627395,1177
1509618600000,0.03955,0.039558,0.038671,0.038917,1843.755,1509620399999,71.98895961,1381
1509620400000,0.03886,0.040447,0.037589,0.040068,3543.185,1509622199999,137.04529563,2705
1509622200000,0.0401,0.043177,0.039958,0.04175,3010.161,1509623999999,125.40397546,2686
1509624000000,0.041626,0.04261,0.041261,0.041819,1427.213,1509625799999,59.91614228,1327
1509625800000,0.041996,0.042132,0.040357,0.04073,1223.31,1509627599999,50.18703624,1054
1509627600000,0.040671,0.040908,0.039874,0.03994,1399.36,1509629399999,56.60602521,890
1509629400000,0.040003,0.040127,0.039445,0.040127,1270.238,1509631199999,50.58570302,1046
1509631200000,0.039996,0.040528,0.03985,0.040375,1189.469,1509632999999,47.77057898,948
1509633000000,0.040375,0.041555,0.040246,0.041385,1265.328,1509634799999,51.67536942,1009
1509634800000,0.041534,0.041535,0.040664,0.040909,966.371,1509636599999,39.60990017,788
1509636600000,0.04079,0.040965,0.040163,0.040552,1350.751,1509638399999,54.96755814,979
1509638400000,0.040597,0.040735,0.040166,0.040476,1242.918,1509640199999,50.35498927,993
1509640200000,0.040554,0.040884,0.040475,0.040761,1090.328,1509641999999,44.39192176,935
1509642000000,0.04081,0.041697,0.040727,0.041135,1112.004,1509643799999,45.73132074,1049
1509643800000,0.041041,0.041308,0.04075,0.040762,731.855,1509645599999,29.99127567,624
1509645600000,0.040758,0.04128,0.040656,0.041144,956.822,1509647399999,39.13869095,861
